diseaseId,disease,n_genes,n_known
EFO_0000565,leukemia,6,0
MONDO_0018364,malignant epithelial tumor of ovary,6,0
MONDO_0001056,gastric cancer,6,0
EFO_0007535,verrucous carcinoma,6,0
EFO_1001159,Rh isoimmunization,6,0
EFO_0003025,acute megakaryoblastic leukaemia,6,0
MONDO_0003982,bilateral breast carcinoma,6,0
EFO_0000702,small cell lung carcinoma,6,0
MONDO_0015686,primary peritoneal carcinoma,6,0
MONDO_0002716,childhood spinal cord tumor,5,0
MONDO_0002537,inverted papilloma,5,0
MONDO_0004669,salivary gland cancer,5,0
MONDO_0001402,vaginal cancer,5,0
MONDO_0003936,invasive tubular breast carcinoma,5,0
MONDO_0004192,urethra cancer,5,0
MONDO_0008903,lung cancer,5,0
MONDO_0003751,childhood germ cell tumor,5,0
MONDO_0004110,refractory hairy cell leukemia,5,0
MONDO_0011962,endometrial cancer,5,0
MONDO_0003153,adult brainstem glioma,5,0
MONDO_0000544,mucosal melanoma,5,0
MONDO_0002543,adult oligodendroglioma,5,0
Orphanet_325690,Genetic disorder of sex development,5,0
MONDO_0001016,epididymis cancer,4,0
EFO_0000220,acute lymphoblastic leukemia,4,0
MONDO_0000645,fallopian tube benign neoplasm,4,0
MONDO_0003950,nipple carcinoma,4,0
EFO_0000305,breast carcinoma,4,0
EFO_1001119,posterior uveitis,4,0
MONDO_0021576,fallopian tube endometrioid tumor,4,0
MONDO_0020656,human papillomavirus-related penile squamous cell carcinoma,4,0
EFO_0009782,progesterone-receptor positive breast cancer,4,0
MONDO_0002786,diencephalic cancer,4,0
MONDO_0001340,heart cancer,4,0
EFO_0000095,chronic lymphocytic leukemia,4,0
MONDO_0003558,adenosquamous prostate carcinoma,4,0
MONDO_0100342,malignant glioma,4,0
EFO_1001512,endometrial carcinoma,4,0
Orphanet_273,Steinert myotonic dystrophy,4,0
MONDO_0016586,systemic mastocytosis,4,0
MONDO_0003585,adult liposarcoma,4,0
EFO_0008585,ST Elevation Myocardial Infarction,4,0
EFO_1001465,gliosarcoma,4,0
MONDO_0018542,severe congenital neutropenia,4,0
MONDO_0003766,thalamic cancer,4,0
EFO_1000866,choroid cancer,4,0
EFO_0005952,non-Hodgkins lymphoma,4,0
MONDO_0003087,mucoepidermoid breast carcinoma,3,0
MONDO_0001325,penile cancer,3,0
EFO_0007206,choroid plexus cancer,3,0
MONDO_0002739,extrahepatic bile duct mucinous adenocarcinoma,3,0
MONDO_0041052,postherpetic neuralgia,3,0
EFO_1002015,HPV-associated cervical carcinoma,3,0
MONDO_0002683,adult choroid plexus neoplasm,3,0
MONDO_0008978,chordoma,3,0
MONDO_0044334,connective and soft tissue neoplasm,3,0
MONDO_0021639,grade II glioma,3,0
EFO_1000140,Borderline Ovarian Surface Epithelial-Stromal Tumor,3,0
EFO_0009781,progesterone-receptor negative breast cancer,3,0
MONDO_0021633,cerebral astrocytoma,3,0
MONDO_0024797,adult brain stem neoplasm,2,0
MONDO_0003219,gastroesophageal junction adenocarcinoma,2,0
EFO_1000059,cervical artery dissection,2,0
MONDO_0003392,fallopian tube germ cell tumor,2,0
EFO_0002938,hypopharyngeal carcinoma,2,0
EFO_0004599,acute graft vs. host disease,2,0
EFO_0005232,endometrium adenocarcinoma,2,0
EFO_1000727,lipodystrophy,2,0
EFO_0000707,squamous cell carcinoma,2,0
MONDO_0018044,idiopathic hypersomnia,2,0
EFO_0000181,head and neck squamous cell carcinoma,2,0
EFO_1001480,metastatic colorectal cancer,2,0
