gene_acronym,gene_name,gene_entrez_id,age_in_days,age,donor_sex,structure_name,expression_energy
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,4.78931
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.45451
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,3.93466
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,4.35808
Nrgn,neurogranin,64011,56.0,P56,M,prosomere 3,5.30923
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,3.56977
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,4.23487
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,4.34456
Zeb2,zinc finger E-box binding homeobox 2,24136,56.0,P56,M,prosomere 3,5.36994
Sfrp2,secreted frizzled-related protein 2,20319,56.0,P56,M,prosomere 3,1.3297
Avpr1b,arginine vasopressin receptor 1B,26361,56.0,P56,M,prosomere 3,0.245121
Avpr1b,arginine vasopressin receptor 1B,26361,56.0,P56,M,prosomere 3,0.140393
Esrra,"estrogen related receptor, alpha",26379,56.0,P56,M,prosomere 3,1.46277
Esrrg,estrogen-related receptor gamma,26381,56.0,P56,M,prosomere 3,1.45549
Esrrg,estrogen-related receptor gamma,26381,56.0,P56,M,prosomere 3,1.29712
Map3k7,mitogen-activated protein kinase kinase kinase 7,26409,56.0,P56,M,prosomere 3,1.20095
Mapk10,mitogen-activated protein kinase 10,26414,56.0,P56,M,prosomere 3,0.20654
Nrgn,neurogranin,64011,56.0,P56,M,prosomere 3,6.61924
Mapk8,mitogen-activated protein kinase 8,26419,56.0,P56,M,prosomere 3,0.765478
Cxcl12,chemokine (C-X-C motif) ligand 12,20315,56.0,P56,M,prosomere 3,0.148264
Nr5a1,"nuclear receptor subfamily 5, group A, member 1",26423,56.0,P56,M,prosomere 3,0.0165184
Cxcl12,chemokine (C-X-C motif) ligand 12,20315,56.0,P56,M,prosomere 3,1.79062
Cx3cl1,chemokine (C-X3-C motif) ligand 1,20312,56.0,P56,M,prosomere 3,14.1766
Scnn1a,"sodium channel, nonvoltage-gated 1 alpha",20276,56.0,P56,M,prosomere 3,0.173144
Scn5a,"sodium channel, voltage-gated, type V, alpha",20271,56.0,P56,M,prosomere 3,0.314205
Scn1a,"sodium channel, voltage-gated, type I, alpha",20265,56.0,P56,M,prosomere 3,2.50108
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,M,prosomere 3,0.0336696
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,M,prosomere 3,0.0353562
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,F,prosomere 3,0.0791195
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,M,prosomere 3,0.227368
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,M,prosomere 3,0.0585184
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,F,prosomere 3,0.120244
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,M,prosomere 3,0.0636269
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,M,prosomere 3,0.0643375
