ensembl_gene_id,gene_symbol,druggability_tier,small_mol_druggable,bio_druggable,adme_gene
ENSG00000108242,CYP2C18,Tier 1,Y,N,Y
ENSG00000108405,P2RX1,Tier 1,Y,N,N
ENSG00000108443,RPS6KB1,Tier 1,Y,N,N
ENSG00000108556,CHRNE,Tier 1,Y,Y,N
ENSG00000108576,SLC6A4,Tier 1,Y,N,N
ENSG00000108602,ALDH3A1,Tier 1,Y,N,Y
ENSG00000108691,CCL2,Tier 1,N,Y,N
ENSG00000108786,HSD17B1,Tier 1,Y,N,N
ENSG00000108840,HDAC5,Tier 1,Y,N,N
ENSG00000108846,ABCC3,Tier 1,Y,Y,Y
ENSG00000108984,MAP2K6,Tier 1,Y,N,N
ENSG00000109016,DHRS7B,Tier 1,N,N,Y
ENSG00000109099,PMP22,Tier 1,Y,N,N
ENSG00000109158,GABRA4,Tier 1,Y,Y,N
ENSG00000109163,GNRHR,Tier 1,Y,Y,N
ENSG00000109181,UGT2B10,Tier 1,N,Y,Y
ENSG00000109193,SULT1E1,Tier 1,N,N,Y
ENSG00000109320,NFKB1,Tier 1,Y,N,N
ENSG00000109339,MAPK10,Tier 1,Y,N,N
ENSG00000109471,IL2,Tier 1,N,Y,N
ENSG00000109610,SOD3,Tier 1,N,Y,Y
ENSG00000110063,DCPS,Tier 1,Y,N,N
ENSG00000110092,CCND1,Tier 1,Y,N,N
ENSG00000110148,CCKBR,Tier 1,Y,Y,N
ENSG00000110195,FOLR1,Tier 1,N,Y,N
ENSG00000110330,BIRC2,Tier 1,Y,N,N
ENSG00000110422,HIPK3,Tier 1,Y,N,N
ENSG00000110448,CD5,Tier 1,N,Y,N
ENSG00000110628,SLC22A18,Tier 1,N,N,Y
ENSG00000110680,CALCA,Tier 1,Y,Y,N
ENSG00000110799,VWF,Tier 1,N,Y,N
ENSG00000110931,CAMKK2,Tier 1,Y,N,N
ENSG00000110944,IL23A,Tier 1,N,Y,N
ENSG00000111012,CYP27B1,Tier 1,Y,N,Y
ENSG00000111057,KRT18,Tier 1,N,Y,N
ENSG00000111142,METAP2,Tier 1,Y,N,N
ENSG00000111144,LTA4H,Tier 1,Y,N,N
ENSG00000111275,ALDH2,Tier 1,Y,N,Y
ENSG00000111319,SCNN1A,Tier 1,Y,Y,N
ENSG00000111321,LTBR,Tier 1,N,Y,N
ENSG00000111424,VDR,Tier 1,Y,N,N
ENSG00000111537,IFNG,Tier 1,N,Y,N
ENSG00000111700,SLCO1B3,Tier 1,N,N,Y
ENSG00000111816,FRK,Tier 1,Y,N,N
ENSG00000111837,MAK,Tier 1,Y,N,N
ENSG00000112033,PPARD,Tier 1,Y,N,Y
ENSG00000112038,OPRM1,Tier 1,Y,N,N
ENSG00000112062,MAPK14,Tier 1,Y,N,N
ENSG00000112096,SOD2,Tier 1,N,N,Y
ENSG00000112115,IL17A,Tier 1,N,Y,N
ENSG00000112116,IL17F,Tier 1,N,Y,N
ENSG00000112144,ICK,Tier 1,Y,N,N
ENSG00000112164,GLP1R,Tier 1,Y,Y,N
ENSG00000112294,ALDH5A1,Tier 1,Y,N,Y
ENSG00000112312,GMNN,Tier 1,Y,N,N
ENSG00000112499,SLC22A2,Tier 1,Y,N,Y
ENSG00000112541,PDE10A,Tier 1,Y,N,N
ENSG00000112576,CCND3,Tier 1,Y,N,N
ENSG00000112715,VEGFA,Tier 1,N,Y,N
ENSG00000112739,PRPF4B,Tier 1,Y,N,N
ENSG00000112742,TTK,Tier 1,Y,N,N
ENSG00000112759,SLC29A1,Tier 1,Y,N,Y
ENSG00000112769,LAMA4,Tier 1,N,Y,N
ENSG00000112964,GHR,Tier 1,N,Y,N
ENSG00000113070,HBEGF,Tier 1,N,Y,N
ENSG00000113161,HMGCR,Tier 1,Y,N,N
ENSG00000113231,PDE8B,Tier 1,Y,N,N
ENSG00000113240,CLK4,Tier 1,Y,N,N
ENSG00000113263,ITK,Tier 1,Y,N,N
ENSG00000113302,IL12B,Tier 1,N,Y,N
ENSG00000113327,GABRG2,Tier 1,Y,Y,N
ENSG00000113448,PDE4D,Tier 1,Y,N,N
ENSG00000113494,PRLR,Tier 1,N,Y,N
ENSG00000113520,IL4,Tier 1,N,Y,N
ENSG00000113525,IL5,Tier 1,N,Y,N
ENSG00000113578,FGF1,Tier 1,Y,Y,N
ENSG00000113580,NR3C1,Tier 1,Y,N,N
ENSG00000113712,CSNK1A1,Tier 1,Y,N,N
